batch # 0; loading time: 11.13629698753357s
batch # 1; loading time: 10.211737632751465s
batch # 2; loading time: 8.786892890930176s
batch # 3; loading time: 8.91024136543274s
batch # 4; loading time: 8.873291730880737s
batch # 5; loading time: 9.90274953842163s
batch # 6; loading time: 9.704042196273804s
batch # 7; loading time: 10.539743185043335s
batch # 8; loading time: 9.419072151184082s
batch # 9; loading time: 8.959539651870728s
batch # 10; loading time: 9.03162431716919s
batch # 11; loading time: 8.967481136322021s
batch # 12; loading time: 9.075947999954224s
batch # 13; loading time: 9.48727297782898s
batch # 14; loading time: 8.791325092315674s
batch # 15; loading time: 9.228614807128906s
batch # 16; loading time: 9.282320976257324s
batch # 17; loading time: 9.007994174957275s
batch # 18; loading time: 9.014606237411499s
batch # 19; loading time: 9.110565900802612s
batch # 20; loading time: 9.4078950881958s
batch # 21; loading time: 9.390066862106323s
batch # 22; loading time: 9.042349576950073s
batch # 23; loading time: 9.02575421333313s
batch # 24; loading time: 8.957826137542725s
batch # 25; loading time: 8.975783824920654s
batch # 26; loading time: 10.639180421829224s
batch # 27; loading time: 8.89997124671936s
batch # 28; loading time: 9.207443714141846s
batch # 29; loading time: 9.167067527770996s
batch # 30; loading time: 9.197558641433716s
batch # 31; loading time: 8.99644136428833s
batch # 32; loading time: 8.905221223831177s
batch # 33; loading time: 9.027681827545166s
batch # 34; loading time: 9.145262479782104s
batch # 35; loading time: 9.155689716339111s
batch # 36; loading time: 9.179335832595825s
batch # 37; loading time: 9.039920330047607s
batch # 38; loading time: 9.247218132019043s
batch # 39; loading time: 8.915620803833008s
batch # 40; loading time: 9.337515830993652s
batch # 41; loading time: 15.395292520523071s
batch # 42; loading time: 9.056940793991089s
batch # 43; loading time: 9.776954174041748s
batch # 44; loading time: 9.056413173675537s
batch # 45; loading time: 9.1603684425354s
batch # 46; loading time: 9.33293104171753s
batch # 47; loading time: 8.960017681121826s
batch # 48; loading time: 8.927335500717163s
batch # 49; loading time: 8.972171068191528s
batch # 50; loading time: 9.687411069869995s
batch # 51; loading time: 8.947245836257935s
batch # 52; loading time: 9.93972659111023s
batch # 53; loading time: 8.89748477935791s
batch # 54; loading time: 9.043267011642456s
batch # 55; loading time: 9.81100058555603s
batch # 56; loading time: 9.326559066772461s
batch # 57; loading time: 9.024384498596191s
batch # 58; loading time: 9.426438808441162s
batch # 59; loading time: 9.356873512268066s
batch # 60; loading time: 9.203516721725464s
batch # 61; loading time: 8.864492893218994s
batch # 62; loading time: 9.481062412261963s
batch # 63; loading time: 8.80922245979309s
batch # 64; loading time: 9.119206190109253s
batch # 65; loading time: 9.209264039993286s
batch # 66; loading time: 8.998602390289307s
batch # 67; loading time: 10.350174188613892s
batch # 68; loading time: 10.829326868057251s
batch # 69; loading time: 8.887001752853394s
batch # 70; loading time: 8.955084085464478s
batch # 71; loading time: 9.179461002349854s
batch # 72; loading time: 9.271677732467651s
batch # 73; loading time: 9.556636095046997s
batch # 74; loading time: 8.964979887008667s
batch # 75; loading time: 8.968886137008667s
batch # 76; loading time: 9.67969560623169s
batch # 77; loading time: 9.067424535751343s
batch # 78; loading time: 10.10979151725769s
batch # 79; loading time: 9.336536407470703s
batch # 80; loading time: 9.091232776641846s
batch # 81; loading time: 9.021119117736816s
batch # 82; loading time: 9.109351396560669s
batch # 83; loading time: 9.214327573776245s
batch # 84; loading time: 9.147931337356567s
batch # 85; loading time: 9.347465991973877s
batch # 86; loading time: 9.284977912902832s
batch # 87; loading time: 9.612043380737305s
batch # 88; loading time: 9.598481178283691s
batch # 89; loading time: 9.323809146881104s
batch # 90; loading time: 8.982105255126953s
batch # 91; loading time: 8.913254976272583s
batch # 92; loading time: 9.29618239402771s
batch # 93; loading time: 8.85486364364624s
batch # 94; loading time: 9.050127267837524s
batch # 95; loading time: 9.24678635597229s
batch # 96; loading time: 11.340574502944946s
batch # 97; loading time: 8.973037958145142s
batch # 98; loading time: 9.426985263824463s
batch # 99; loading time: 9.809626817703247s
total time elapsed: 986.8934199810028
validation loss: 2.178386926651001, validation accuracy: 0.2294921875
