batch # 0; loading time: 13.517113208770752s
batch # 1; loading time: 15.30523133277893s
batch # 2; loading time: 15.02474594116211s
batch # 3; loading time: 12.75054669380188s
batch # 4; loading time: 18.467936277389526s
batch # 5; loading time: 12.85440468788147s
batch # 6; loading time: 12.073200464248657s
batch # 7; loading time: 14.535788297653198s
batch # 8; loading time: 12.777554273605347s
batch # 9; loading time: 12.474078893661499s
batch # 10; loading time: 13.932607650756836s
batch # 11; loading time: 11.906506776809692s
batch # 12; loading time: 19.29826283454895s
batch # 13; loading time: 13.766160726547241s
batch # 14; loading time: 12.707878589630127s
batch # 15; loading time: 11.933660745620728s
batch # 16; loading time: 13.832312822341919s
batch # 17; loading time: 14.157650470733643s
batch # 18; loading time: 13.86712121963501s
batch # 19; loading time: 10.240756273269653s
batch # 20; loading time: 24.67992925643921s
batch # 21; loading time: 40.218990087509155s
batch # 22; loading time: 9.685059785842896s
batch # 23; loading time: 12.3464674949646s
batch # 24; loading time: 9.19054913520813s
batch # 25; loading time: 9.23186707496643s
batch # 26; loading time: 9.276498556137085s
batch # 27; loading time: 10.56235933303833s
batch # 28; loading time: 9.179690837860107s
batch # 29; loading time: 10.158454895019531s
batch # 30; loading time: 9.084815740585327s
batch # 31; loading time: 9.31003451347351s
batch # 32; loading time: 9.741080522537231s
batch # 33; loading time: 9.23818325996399s
batch # 34; loading time: 8.973016500473022s
batch # 35; loading time: 8.825885772705078s
batch # 36; loading time: 10.433999300003052s
batch # 37; loading time: 11.45285940170288s
batch # 38; loading time: 8.798476219177246s
batch # 39; loading time: 8.931585788726807s
batch # 40; loading time: 9.753637552261353s
batch # 41; loading time: 9.750318765640259s
batch # 42; loading time: 10.524173498153687s
batch # 43; loading time: 10.527578115463257s
batch # 44; loading time: 8.870864629745483s
batch # 45; loading time: 9.898119926452637s
batch # 46; loading time: 9.178266286849976s
batch # 47; loading time: 8.85952377319336s
batch # 48; loading time: 9.594871044158936s
batch # 49; loading time: 10.189767837524414s
batch # 50; loading time: 9.749088048934937s
batch # 51; loading time: 13.709953784942627s
batch # 52; loading time: 9.278703212738037s
batch # 53; loading time: 10.167805194854736s
batch # 54; loading time: 9.920539140701294s
batch # 55; loading time: 9.772215127944946s
batch # 56; loading time: 9.33558964729309s
batch # 57; loading time: 9.074625730514526s
batch # 58; loading time: 9.912748098373413s
batch # 59; loading time: 11.244348764419556s
batch # 60; loading time: 9.00882077217102s
batch # 61; loading time: 10.15704607963562s
batch # 62; loading time: 9.626810312271118s
batch # 63; loading time: 10.650350570678711s
batch # 64; loading time: 10.368085861206055s
batch # 65; loading time: 9.34186601638794s
batch # 66; loading time: 9.582412481307983s
batch # 67; loading time: 9.749225378036499s
batch # 68; loading time: 8.993307113647461s
batch # 69; loading time: 9.00240683555603s
batch # 70; loading time: 8.865731954574585s
batch # 71; loading time: 10.25534963607788s
batch # 72; loading time: 9.941489458084106s
batch # 73; loading time: 10.115631341934204s
batch # 74; loading time: 9.372626781463623s
batch # 75; loading time: 9.047806978225708s
batch # 76; loading time: 10.640568256378174s
batch # 77; loading time: 9.056612968444824s
batch # 78; loading time: 9.596265316009521s
batch # 79; loading time: 9.038075923919678s
batch # 80; loading time: 9.489996433258057s
batch # 81; loading time: 9.294511079788208s
batch # 82; loading time: 11.51245403289795s
batch # 83; loading time: 9.647890090942383s
batch # 84; loading time: 12.038561344146729s
batch # 85; loading time: 9.34929895401001s
batch # 86; loading time: 9.879175186157227s
batch # 87; loading time: 9.594513177871704s
batch # 88; loading time: 9.534002542495728s
batch # 89; loading time: 9.841266632080078s
batch # 90; loading time: 9.144750833511353s
batch # 91; loading time: 10.162063121795654s
batch # 92; loading time: 10.172498941421509s
batch # 93; loading time: 10.201430320739746s
batch # 94; loading time: 9.219099521636963s
batch # 95; loading time: 9.495792865753174s
batch # 96; loading time: 10.95406460762024s
batch # 97; loading time: 9.714029312133789s
batch # 98; loading time: 12.677948474884033s
batch # 99; loading time: 9.634680032730103s
total time elapsed: 1397.421364068985
validation loss: 2.178025007247925, validation accuracy: 0.2294921875
