batch # 0; loading time: 10.52564549446106s
batch # 1; loading time: 9.148707866668701s
batch # 2; loading time: 8.83355712890625s
batch # 3; loading time: 9.813849449157715s
batch # 4; loading time: 9.02591061592102s
batch # 5; loading time: 8.987330198287964s
batch # 6; loading time: 9.070087909698486s
batch # 7; loading time: 9.034042596817017s
batch # 8; loading time: 10.601005792617798s
batch # 9; loading time: 8.9927339553833s
batch # 10; loading time: 9.140791654586792s
batch # 11; loading time: 9.508389711380005s
batch # 12; loading time: 8.905481338500977s
batch # 13; loading time: 9.670877695083618s
batch # 14; loading time: 9.093727111816406s
batch # 15; loading time: 8.870433330535889s
batch # 16; loading time: 9.629281044006348s
batch # 17; loading time: 9.835967779159546s
batch # 18; loading time: 9.066235065460205s
batch # 19; loading time: 9.165590286254883s
batch # 20; loading time: 9.800520420074463s
batch # 21; loading time: 9.054495811462402s
batch # 22; loading time: 9.749181509017944s
batch # 23; loading time: 9.303226947784424s
batch # 24; loading time: 9.128119707107544s
batch # 25; loading time: 9.291975498199463s
batch # 26; loading time: 8.960439682006836s
batch # 27; loading time: 9.088752508163452s
batch # 28; loading time: 12.854110479354858s
batch # 29; loading time: 9.24607515335083s
batch # 30; loading time: 8.91761565208435s
batch # 31; loading time: 9.291025876998901s
batch # 32; loading time: 9.156860828399658s
batch # 33; loading time: 9.05588436126709s
batch # 34; loading time: 9.469695329666138s
batch # 35; loading time: 9.179943799972534s
batch # 36; loading time: 9.876589298248291s
batch # 37; loading time: 9.050569295883179s
batch # 38; loading time: 9.64028263092041s
batch # 39; loading time: 9.824253797531128s
batch # 40; loading time: 9.088126182556152s
batch # 41; loading time: 8.971380949020386s
batch # 42; loading time: 8.569236755371094s
batch # 43; loading time: 9.232560873031616s
batch # 44; loading time: 9.207641363143921s
batch # 45; loading time: 8.957048177719116s
batch # 46; loading time: 8.925873041152954s
batch # 47; loading time: 9.007581233978271s
batch # 48; loading time: 10.38853144645691s
batch # 49; loading time: 9.39176630973816s
batch # 50; loading time: 9.051345348358154s
batch # 51; loading time: 8.989341259002686s
batch # 52; loading time: 9.50606894493103s
batch # 53; loading time: 8.878156423568726s
batch # 54; loading time: 10.152050256729126s
batch # 55; loading time: 10.224849939346313s
batch # 56; loading time: 9.018421649932861s
batch # 57; loading time: 8.891351461410522s
batch # 58; loading time: 10.583986759185791s
batch # 59; loading time: 9.695765972137451s
batch # 60; loading time: 8.719916343688965s
batch # 61; loading time: 9.880574703216553s
batch # 62; loading time: 9.230849027633667s
batch # 63; loading time: 9.037970066070557s
batch # 64; loading time: 9.056459665298462s
batch # 65; loading time: 9.055338859558105s
batch # 66; loading time: 9.057020664215088s
batch # 67; loading time: 9.09056282043457s
batch # 68; loading time: 9.039930820465088s
batch # 69; loading time: 9.445784330368042s
batch # 70; loading time: 8.984185695648193s
batch # 71; loading time: 8.967885255813599s
batch # 72; loading time: 8.908935785293579s
batch # 73; loading time: 9.512440204620361s
batch # 74; loading time: 9.460014581680298s
batch # 75; loading time: 9.215427160263062s
batch # 76; loading time: 8.993196249008179s
batch # 77; loading time: 9.01342225074768s
batch # 78; loading time: 9.090821743011475s
batch # 79; loading time: 9.04881477355957s
batch # 80; loading time: 9.152602434158325s
batch # 81; loading time: 9.000368118286133s
batch # 82; loading time: 9.319575309753418s
batch # 83; loading time: 9.160213470458984s
batch # 84; loading time: 8.920740842819214s
batch # 85; loading time: 9.118975400924683s
batch # 86; loading time: 9.445162296295166s
batch # 87; loading time: 9.12482476234436s
batch # 88; loading time: 14.779642343521118s
batch # 89; loading time: 25.883923530578613s
batch # 90; loading time: 9.262874364852905s
batch # 91; loading time: 8.906306982040405s
batch # 92; loading time: 8.782078266143799s
batch # 93; loading time: 10.601274251937866s
batch # 94; loading time: 8.818968534469604s
batch # 95; loading time: 9.478797674179077s
batch # 96; loading time: 9.046176671981812s
batch # 97; loading time: 8.758680582046509s
batch # 98; loading time: 9.579180479049683s
batch # 99; loading time: 9.09341049194336s
total time elapsed: 1003.1177370548248
validation loss: 2.167785882949829, validation accuracy: 0.2294921875
