batch # 0; loading time: 12.747016429901123s
batch # 1; loading time: 9.678065299987793s
batch # 2; loading time: 13.754795551300049s
batch # 3; loading time: 10.037912368774414s
batch # 4; loading time: 10.12446904182434s
batch # 5; loading time: 9.868158102035522s
batch # 6; loading time: 9.844826221466064s
batch # 7; loading time: 10.088683128356934s
batch # 8; loading time: 9.878389358520508s
batch # 9; loading time: 9.715221166610718s
batch # 10; loading time: 9.872647523880005s
batch # 11; loading time: 14.454666376113892s
batch # 12; loading time: 12.498788118362427s
batch # 13; loading time: 9.402158498764038s
batch # 14; loading time: 8.625218391418457s
batch # 15; loading time: 9.59346055984497s
batch # 16; loading time: 9.071082592010498s
batch # 17; loading time: 9.797721147537231s
batch # 18; loading time: 12.798133611679077s
batch # 19; loading time: 9.473390102386475s
batch # 20; loading time: 9.610037565231323s
batch # 21; loading time: 8.811640739440918s
batch # 22; loading time: 9.429012537002563s
batch # 23; loading time: 9.447278261184692s
batch # 24; loading time: 8.78651762008667s
batch # 25; loading time: 8.60346508026123s
batch # 26; loading time: 9.09651255607605s
batch # 27; loading time: 9.37920331954956s
batch # 28; loading time: 8.819591760635376s
batch # 29; loading time: 8.681245565414429s
batch # 30; loading time: 9.680562734603882s
batch # 31; loading time: 9.724526643753052s
batch # 32; loading time: 11.192197561264038s
batch # 33; loading time: 10.32167935371399s
batch # 34; loading time: 8.91862678527832s
batch # 35; loading time: 9.9250168800354s
batch # 36; loading time: 8.705498695373535s
batch # 37; loading time: 9.591938018798828s
batch # 38; loading time: 8.94801378250122s
batch # 39; loading time: 8.764159917831421s
batch # 40; loading time: 9.320255517959595s
batch # 41; loading time: 8.787658929824829s
batch # 42; loading time: 8.694981813430786s
batch # 43; loading time: 8.703840255737305s
batch # 44; loading time: 8.790995121002197s
batch # 45; loading time: 8.923418283462524s
batch # 46; loading time: 9.22021198272705s
batch # 47; loading time: 9.504289388656616s
batch # 48; loading time: 9.923277854919434s
batch # 49; loading time: 9.119518756866455s
batch # 50; loading time: 8.991926431655884s
batch # 51; loading time: 10.192020654678345s
batch # 52; loading time: 8.814937114715576s
batch # 53; loading time: 8.814594507217407s
batch # 54; loading time: 8.673296213150024s
batch # 55; loading time: 9.217421293258667s
batch # 56; loading time: 8.816811561584473s
batch # 57; loading time: 9.495116472244263s
batch # 58; loading time: 9.575300693511963s
batch # 59; loading time: 9.130636930465698s
batch # 60; loading time: 9.73612117767334s
batch # 61; loading time: 8.686972379684448s
batch # 62; loading time: 8.679875612258911s
batch # 63; loading time: 8.83981466293335s
batch # 64; loading time: 9.797314167022705s
batch # 65; loading time: 8.590424060821533s
batch # 66; loading time: 8.728721380233765s
batch # 67; loading time: 8.678008556365967s
batch # 68; loading time: 8.589141845703125s
batch # 69; loading time: 8.806945085525513s
batch # 70; loading time: 8.731677055358887s
batch # 71; loading time: 8.646654605865479s
batch # 72; loading time: 9.399519920349121s
batch # 73; loading time: 8.78741717338562s
batch # 74; loading time: 10.447105884552002s
batch # 75; loading time: 8.893654346466064s
batch # 76; loading time: 8.707530736923218s
batch # 77; loading time: 8.821175813674927s
batch # 78; loading time: 8.872462511062622s
batch # 79; loading time: 9.448375940322876s
batch # 80; loading time: 11.764731168746948s
batch # 81; loading time: 8.826540231704712s
batch # 82; loading time: 11.06953477859497s
batch # 83; loading time: 9.353734016418457s
batch # 84; loading time: 10.127281665802002s
batch # 85; loading time: 9.042459487915039s
batch # 86; loading time: 9.223077535629272s
batch # 87; loading time: 9.254528522491455s
batch # 88; loading time: 9.39196228981018s
batch # 89; loading time: 9.169174194335938s
batch # 90; loading time: 9.24406886100769s
batch # 91; loading time: 8.763994932174683s
batch # 92; loading time: 9.669123888015747s
batch # 93; loading time: 9.76535701751709s
batch # 94; loading time: 9.773741245269775s
batch # 95; loading time: 9.732468605041504s
batch # 96; loading time: 8.858520746231079s
batch # 97; loading time: 8.80178189277649s
batch # 98; loading time: 9.257237911224365s
batch # 99; loading time: 8.608814477920532s
total time elapsed: 1294.9273252487183
validation loss: 2.256165027618408, validation accuracy: 0.2294921875
