epoch,accuracy,loss
0,0.134765625,3008.248291015625
1,0.1591796875,13.632135391235352
2,0.1708984375,5.268875598907471
3,0.1708984375,5.763999938964844
4,0.171875,3.585094928741455
5,0.171875,2.587200164794922
6,0.1728515625,3.0751664638519287
7,0.171875,3.2680745124816895
8,0.171875,2.283625364303589
9,0.1708984375,2.7413344383239746
0,0.1806640625,2.2548460960388184
1,0.1806640625,2.2438533306121826
2,0.1806640625,2.233151912689209
3,0.1806640625,2.6292736530303955
4,0.1806640625,2.2150232791900635
5,0.1806640625,2.2075510025024414
6,0.18359375,2.200277328491211
7,0.2177734375,2.28759765625
8,0.216796875,2.5110201835632324
9,0.2177734375,2.1838393211364746
0,0.2294921875,2.199228286743164
1,0.2294921875,2.6511216163635254
2,0.23046875,2.1907880306243896
3,0.2294921875,2.190019130706787
4,0.228515625,2.7983970642089844
5,0.2294921875,2.185413360595703
6,0.2294921875,2.1834163665771484
7,0.2294921875,2.1814794540405273
8,0.228515625,2.386225938796997
9,0.228515625,2.445641279220581
0,0.2216796875,2.1709609031677246
1,0.2216796875,2.169987916946411
2,0.2216796875,2.1689293384552
3,0.2216796875,2.168250560760498
4,0.2216796875,2.1672463417053223
5,0.2216796875,2.1664538383483887
6,0.2216796875,2.1655893325805664
7,0.2216796875,2.164825439453125
8,0.2216796875,2.173466920852661
9,0.2216796875,2.1637206077575684
0,0.22265625,2.180464029312134
1,0.22265625,2.327878475189209
2,0.22265625,2.179865837097168
3,0.22265625,3.0014727115631104
4,0.22265625,2.1789097785949707
5,0.22265625,2.1785335540771484
6,0.2216796875,2.505065441131592
7,0.22265625,2.1777102947235107
8,0.22265625,2.1773974895477295
9,0.22265625,2.1771674156188965
0,0.2265625,2.196502208709717
1,0.2275390625,3.4992637634277344
2,0.2265625,2.2063467502593994
3,0.2265625,2.195932388305664
4,0.2265625,2.1955406665802
5,0.2255859375,3.6355791091918945
6,0.2265625,2.1949806213378906
7,0.2265625,2.1947741508483887
8,0.2265625,2.1946661472320557
9,0.2265625,2.1945366859436035
0,0.228515625,2.1558728218078613
1,0.228515625,2.155487537384033
2,0.228515625,2.1548845767974854
3,0.228515625,2.1542627811431885
4,0.228515625,2.153529644012451
5,0.228515625,2.1530704498291016
6,0.2294921875,2.156660556793213
7,0.228515625,2.1516549587249756
8,0.228515625,2.4742116928100586
9,0.228515625,2.1508805751800537
0,0.2265625,2.167616844177246
1,0.2265625,3.585216522216797
2,0.2265625,2.1670398712158203
3,0.2265625,2.1665897369384766
4,0.2265625,2.166252851486206
5,0.2265625,2.1660027503967285
6,0.2265625,2.234386444091797
7,0.2265625,2.165656089782715
8,0.2265625,2.165440082550049
9,0.2265625,2.1652932167053223
0,0.2626953125,2.1246557235717773
1,0.2626953125,2.1236000061035156
2,0.2626953125,2.121884822845459
3,0.2626953125,2.1202778816223145
4,0.2626953125,2.1879806518554688
5,0.2626953125,2.116640567779541
6,0.2626953125,2.115166664123535
7,0.2626953125,2.1143991947174072
8,0.2626953125,2.1136155128479004
9,0.2626953125,2.1131372451782227
0,0.212890625,2.1745355129241943
1,0.212890625,2.1737141609191895
2,0.212890625,2.171893835067749
3,0.212890625,2.1693339347839355
4,0.212890625,2.1669888496398926
5,0.212890625,2.1648499965667725
6,0.212890625,2.1632847785949707
7,0.212890625,2.1622815132141113
8,0.212890625,2.1613519191741943
9,0.212890625,2.161031723022461
0,0.21875,2.7904703617095947
1,0.21875,2.171530246734619
2,0.21875,2.170869827270508
3,0.21875,2.1701853275299072
4,0.21875,2.169264554977417
5,0.21875,3.172220230102539
6,0.21875,2.1681888103485107
7,0.21875,2.167858123779297
8,0.21875,2.1677870750427246
9,0.21875,2.167513608932495
0,0.2373046875,2.1245944499969482
1,0.2373046875,2.1239326000213623
2,0.2373046875,2.12280011177063
3,0.2373046875,2.1212048530578613
4,0.2373046875,2.1201419830322266
5,0.2373046875,2.1187829971313477
6,0.2373046875,2.1178460121154785
7,0.2373046875,2.1172845363616943
8,0.2373046875,2.116779088973999
9,0.2373046875,2.1164560317993164
0,0.2255859375,2.141023874282837
1,0.2255859375,2.140446662902832
2,0.2255859375,2.1394872665405273
3,0.2255859375,2.138021469116211
4,0.2255859375,2.136725902557373
5,0.2255859375,2.1359658241271973
6,0.2255859375,2.1349704265594482
7,0.2255859375,2.1342122554779053
8,0.2255859375,2.133781909942627
9,0.2255859375,2.133434772491455
0,0.2373046875,2.1395516395568848
1,0.2373046875,2.1384754180908203
2,0.236328125,2.4291725158691406
3,0.2373046875,2.134300708770752
4,0.2373046875,2.132336139678955
5,0.2373046875,2.1305699348449707
6,0.2373046875,2.12943959236145
7,0.2373046875,2.1287338733673096
8,0.2373046875,2.1280789375305176
9,0.2373046875,2.127969980239868
0,0.212890625,2.1924781799316406
1,0.212890625,2.1918325424194336
2,0.212890625,2.1903858184814453
3,0.212890625,2.188610553741455
4,0.212890625,2.1871182918548584
5,0.2119140625,2.355456590652466
6,0.212890625,2.18430233001709
7,0.212890625,2.1833739280700684
8,0.2119140625,2.8484416007995605
9,0.212890625,2.182485580444336
0,0.19921875,2.182863473892212
1,0.19921875,2.18217134475708
2,0.2001953125,2.1793363094329834
3,0.19921875,2.1794986724853516
4,0.19921875,2.1784024238586426
5,0.19921875,2.177126407623291
6,0.19921875,2.176586627960205
7,0.19921875,2.1757726669311523
8,0.19921875,2.1751708984375
9,0.19921875,2.174818515777588
0,0.2265625,5.808473587036133
1,0.2265625,2.1497247219085693
2,0.2265625,2.148005962371826
3,0.2265625,2.145883798599243
4,0.2265625,2.144744634628296
5,0.2265625,2.572788715362549
6,0.2265625,2.1420350074768066
7,0.2265625,2.141641855239868
8,0.2265625,2.141416072845459
9,0.2265625,2.1410326957702637
0,0.21875,2.176523208618164
1,0.21875,2.1755118370056152
2,0.21875,2.1738994121551514
3,0.21875,2.171846866607666
4,0.21875,2.1698098182678223
5,0.21875,2.1685636043548584
6,0.21875,2.1672210693359375
7,0.21875,2.1663010120391846
8,0.21875,2.1657729148864746
9,0.21875,2.165149688720703
0,0.2138671875,2.1773343086242676
1,0.2138671875,2.1770129203796387
2,0.2138671875,2.1763181686401367
3,0.2138671875,2.175471782684326
4,0.2138671875,2.1750168800354004
5,0.2138671875,2.1744749546051025
6,0.2138671875,2.173961639404297
7,0.2138671875,2.173576593399048
8,0.2138671875,2.173367500305176
9,0.2138671875,2.1730713844299316
0,0.234375,2.1574034690856934
1,0.234375,2.1569089889526367
2,0.234375,2.1561524868011475
3,0.234375,2.1551971435546875
4,0.234375,2.154277801513672
5,0.234375,2.1537933349609375
6,0.234375,2.1533474922180176
7,0.234375,2.1530706882476807
8,0.234375,2.1528618335723877
9,0.234375,2.1526894569396973
0,0.2392578125,2.1247458457946777
1,0.2392578125,2.124337911605835
2,0.2392578125,2.123880624771118
3,0.2392578125,2.1234138011932373
4,0.2392578125,2.122925281524658
5,0.2392578125,2.1225337982177734
6,0.2392578125,2.1222145557403564
7,0.2392578125,2.1220130920410156
8,0.2392578125,2.1218316555023193
9,0.2392578125,2.1217315196990967
0,0.248046875,2.1258649826049805
1,0.248046875,2.125206708908081
2,0.248046875,2.124141216278076
3,0.248046875,2.123373508453369
4,0.248046875,2.122204303741455
5,0.248046875,2.121234655380249
6,0.248046875,2.1208529472351074
7,0.248046875,2.1205763816833496
8,0.248046875,2.12027645111084
9,0.248046875,2.120140314102173
0,0.2099609375,2.193869113922119
1,0.2099609375,2.1921417713165283
2,0.2099609375,2.1891517639160156
3,0.2099609375,2.1859307289123535
4,0.2099609375,2.183035135269165
5,0.208984375,2.1819074153900146
6,0.2099609375,2.1797094345092773
7,0.2099609375,2.178192377090454
8,0.2099609375,2.1777615547180176
9,0.2099609375,2.1774935722351074
0,0.25,2.1549830436706543
1,0.25,2.1544482707977295
2,0.25,2.153165817260742
3,0.25,2.1516926288604736
4,0.25,2.150583505630493
5,0.25,2.149336576461792
6,0.25,2.148787498474121
7,0.25,2.1483888626098633
8,0.25,2.148059844970703
9,0.25,2.1480040550231934
0,0.2333984375,2.1693530082702637
1,0.2333984375,2.169034242630005
2,0.2333984375,2.1686861515045166
3,0.2333984375,2.1681723594665527
4,0.2333984375,2.1675708293914795
5,0.2333984375,2.1670048236846924
6,0.2333984375,2.1667468547821045
7,0.2333984375,2.1665594577789307
8,0.2333984375,2.166440725326538
9,0.2333984375,2.1663930416107178
