epoch,accuracy,loss
0,0.095703125,75.26085662841797
1,0.111328125,28.130767822265625
2,0.1337890625,15.67280387878418
3,0.15625,9.171764373779297
4,0.150390625,6.30306339263916
5,0.1484375,4.690279006958008
6,0.177734375,3.908203363418579
7,0.162109375,3.6228854656219482
8,0.181640625,3.3086442947387695
9,0.1630859375,3.106872797012329
0,0.169921875,2.991177797317505
1,0.193359375,2.867021322250366
2,0.17578125,2.8085761070251465
3,0.1767578125,2.6808762550354004
4,0.19140625,2.744260311126709
5,0.181640625,2.595001697540283
6,0.19140625,2.5192983150482178
7,0.1923828125,2.536341667175293
8,0.1826171875,2.5112009048461914
9,0.1767578125,2.4955315589904785
0,0.1806640625,2.506166458129883
1,0.18359375,2.504568576812744
2,0.2021484375,2.4996283054351807
3,0.205078125,2.4840762615203857
4,0.2021484375,2.460592746734619
5,0.19921875,2.446821451187134
6,0.1953125,2.4372081756591797
7,0.2177734375,2.423832893371582
8,0.1923828125,2.44834041595459
9,0.2080078125,2.4207377433776855
0,0.189453125,2.429795742034912
1,0.1923828125,2.4154558181762695
2,0.19921875,2.4198720455169678
3,0.2080078125,2.421494483947754
4,0.203125,2.4113969802856445
5,0.2177734375,2.406710147857666
6,0.2021484375,2.393895149230957
7,0.193359375,2.4043033123016357
8,0.201171875,2.3945090770721436
9,0.19140625,2.387317419052124
0,0.203125,2.3898677825927734
1,0.2041015625,2.3861732482910156
2,0.2041015625,2.3879003524780273
3,0.2001953125,2.387761354446411
4,0.1982421875,2.394124984741211
5,0.20703125,2.377614736557007
6,0.2001953125,2.390657663345337
7,0.1953125,2.3766214847564697
8,0.19921875,2.385784387588501
9,0.2099609375,2.3783907890319824
0,0.2109375,2.3801522254943848
1,0.1953125,2.379693031311035
2,0.2001953125,2.3806240558624268
3,0.21875,2.3797426223754883
4,0.2041015625,2.3701722621917725
5,0.197265625,2.3707237243652344
6,0.2158203125,2.3682706356048584
7,0.2099609375,2.3572096824645996
8,0.21875,2.3614401817321777
9,0.2109375,2.354182481765747
0,0.208984375,2.3534412384033203
1,0.2158203125,2.3452072143554688
2,0.2109375,2.345808982849121
3,0.2099609375,2.3538858890533447
4,0.2138671875,2.3397722244262695
5,0.2177734375,2.3423688411712646
6,0.216796875,2.341928720474243
7,0.2158203125,2.3330178260803223
8,0.2158203125,2.343179225921631
9,0.2109375,2.335298776626587
0,0.2138671875,2.3343141078948975
1,0.2138671875,2.3386688232421875
2,0.2216796875,2.3313703536987305
3,0.2255859375,2.3278894424438477
4,0.2138671875,2.330984354019165
5,0.224609375,2.3250930309295654
6,0.2216796875,2.3255724906921387
7,0.22265625,2.328946590423584
8,0.2138671875,2.3334622383117676
9,0.2197265625,2.324284553527832
0,0.2490234375,2.3085227012634277
1,0.251953125,2.303262710571289
2,0.24609375,2.3110899925231934
3,0.2509765625,2.3116872310638428
4,0.2509765625,2.3029208183288574
5,0.25390625,2.29895281791687
6,0.248046875,2.3002243041992188
7,0.2548828125,2.30087947845459
8,0.251953125,2.2937726974487305
9,0.2548828125,2.3066325187683105
0,0.2099609375,2.307926893234253
1,0.208984375,2.304823398590088
2,0.208984375,2.3044915199279785
3,0.2138671875,2.3052141666412354
4,0.2060546875,2.3035545349121094
5,0.203125,2.3017680644989014
6,0.2060546875,2.308307647705078
7,0.20703125,2.2990102767944336
8,0.2138671875,2.2977614402770996
9,0.2060546875,2.296769857406616
0,0.2138671875,2.2986016273498535
1,0.212890625,2.3006057739257812
2,0.21484375,2.293801784515381
3,0.234375,2.297105073928833
4,0.2197265625,2.300231695175171
5,0.2158203125,2.301692247390747
6,0.22265625,2.2937331199645996
7,0.220703125,2.2983036041259766
8,0.2177734375,2.295044422149658
9,0.2080078125,2.2931089401245117
0,0.23046875,2.274223566055298
1,0.232421875,2.269354820251465
2,0.2314453125,2.272263288497925
3,0.234375,2.264105796813965
4,0.2314453125,2.2660751342773438
5,0.232421875,2.279733657836914
6,0.2275390625,2.272797107696533
7,0.2314453125,2.262692451477051
8,0.2333984375,2.2606005668640137
9,0.2314453125,2.2610373497009277
0,0.2255859375,2.270228624343872
1,0.22265625,2.267974376678467
2,0.216796875,2.2786965370178223
3,0.22265625,2.2679882049560547
4,0.21484375,2.2656450271606445
5,0.22265625,2.262510299682617
6,0.22265625,2.262808322906494
7,0.2177734375,2.263760805130005
8,0.21875,2.2628870010375977
9,0.224609375,2.2559313774108887
0,0.1865234375,2.2566378116607666
1,0.197265625,2.2560105323791504
2,0.1787109375,2.2552998065948486
3,0.18359375,2.2557692527770996
4,0.193359375,2.25239896774292
5,0.1865234375,2.256103515625
6,0.205078125,2.251743793487549
7,0.1865234375,2.2462005615234375
8,0.1904296875,2.250814914703369
9,0.189453125,2.2484359741210938
0,0.1943359375,2.275031805038452
1,0.19140625,2.282442092895508
2,0.1923828125,2.274291515350342
3,0.1982421875,2.2720606327056885
4,0.1875,2.272575855255127
5,0.193359375,2.269777297973633
6,0.1865234375,2.2718048095703125
7,0.19140625,2.2749781608581543
8,0.1875,2.275984048843384
9,0.1904296875,2.2767486572265625
0,0.208984375,2.2707056999206543
1,0.1865234375,2.2629659175872803
2,0.1943359375,2.2789065837860107
3,0.193359375,2.2605199813842773
4,0.1806640625,2.268515110015869
5,0.1845703125,2.25985050201416
6,0.185546875,2.263153076171875
7,0.1865234375,2.26391863822937
8,0.1884765625,2.2609920501708984
9,0.2001953125,2.2563138008117676
0,0.2109375,2.233518362045288
1,0.205078125,2.238823890686035
2,0.2021484375,2.233940839767456
3,0.2216796875,2.227996349334717
4,0.2158203125,2.2297043800354004
5,0.2216796875,2.230443239212036
6,0.20703125,2.231389284133911
7,0.2216796875,2.2378687858581543
8,0.216796875,2.2216782569885254
9,0.2255859375,2.2237658500671387
0,0.2060546875,2.2483913898468018
1,0.1904296875,2.2471389770507812
2,0.1826171875,2.252105951309204
3,0.205078125,2.2461435794830322
4,0.1923828125,2.2395191192626953
5,0.1806640625,2.246856212615967
6,0.21484375,2.245276689529419
7,0.19921875,2.239830493927002
8,0.1943359375,2.246065139770508
9,0.1953125,2.251620054244995
0,0.2060546875,2.259481906890869
1,0.193359375,2.264624834060669
2,0.1845703125,2.2513232231140137
3,0.1875,2.251195192337036
4,0.2060546875,2.2399039268493652
5,0.193359375,2.250709056854248
6,0.189453125,2.268604040145874
7,0.1962890625,2.2539148330688477
8,0.18359375,2.252180576324463
9,0.1943359375,2.2529168128967285
0,0.193359375,2.23214054107666
1,0.1982421875,2.231074810028076
2,0.1884765625,2.2282538414001465
3,0.201171875,2.2289159297943115
4,0.2197265625,2.2388358116149902
5,0.216796875,2.236290693283081
6,0.1865234375,2.239633083343506
7,0.208984375,2.2253456115722656
8,0.2041015625,2.2206902503967285
9,0.19921875,2.228109836578369
0,0.205078125,2.205275058746338
1,0.2080078125,2.21199369430542
2,0.1865234375,2.2123019695281982
3,0.2099609375,2.199327230453491
4,0.203125,2.19925594329834
5,0.1982421875,2.2031056880950928
6,0.189453125,2.1980578899383545
7,0.203125,2.1934680938720703
8,0.1943359375,2.196552276611328
9,0.212890625,2.189314842224121
0,0.24609375,2.1929774284362793
1,0.2373046875,2.2310636043548584
2,0.2099609375,2.195674419403076
3,0.205078125,2.187981605529785
4,0.224609375,2.2027323246002197
5,0.2236328125,2.2444519996643066
6,0.2109375,2.1816530227661133
7,0.2255859375,2.171907424926758
8,0.20703125,2.1877365112304688
9,0.2177734375,2.171651601791382
0,0.201171875,2.227078437805176
1,0.212890625,2.231532335281372
2,0.193359375,2.2491133213043213
3,0.20703125,2.2419052124023438
4,0.2021484375,2.247605323791504
5,0.1943359375,2.2403390407562256
6,0.1923828125,2.2326974868774414
7,0.2021484375,2.244236469268799
8,0.2060546875,2.2328476905822754
9,0.1943359375,2.234866142272949
0,0.2001953125,2.214114189147949
1,0.228515625,2.215287685394287
2,0.232421875,2.229680299758911
3,0.2109375,2.207367420196533
4,0.1884765625,2.2147810459136963
5,0.2041015625,2.22294545173645
6,0.2041015625,2.2012906074523926
7,0.212890625,2.201786518096924
8,0.21484375,2.213855743408203
9,0.2255859375,2.2448573112487793
0,0.23046875,2.210435390472412
1,0.2255859375,2.2133724689483643
2,0.2216796875,2.232100248336792
3,0.2275390625,2.196694850921631
4,0.228515625,2.2060513496398926
5,0.2109375,2.19781231880188
6,0.2109375,2.204928398132324
7,0.220703125,2.1875617504119873
8,0.220703125,2.200648069381714
9,0.21484375,2.208315849304199
0,0.1845703125,2.214416265487671
1,0.1845703125,2.207266330718994
2,0.2158203125,2.217179536819458
3,0.224609375,2.2231998443603516
4,0.21875,2.237210750579834
5,0.205078125,2.2057044506073
6,0.19921875,2.204848289489746
7,0.1962890625,2.2088184356689453
8,0.1796875,2.208944320678711
9,0.2099609375,2.1988940238952637
0,0.24609375,2.1516592502593994
1,0.23828125,2.1524055004119873
2,0.234375,2.142582654953003
3,0.248046875,2.1453301906585693
4,0.2412109375,2.1381020545959473
5,0.2412109375,2.1351780891418457
6,0.22265625,2.1493148803710938
7,0.24609375,2.1344056129455566
8,0.228515625,2.146732807159424
9,0.2265625,2.1635401248931885
0,0.212890625,2.2521109580993652
1,0.2099609375,2.248323678970337
2,0.21484375,2.208216905593872
3,0.2236328125,2.212977886199951
4,0.2138671875,2.206437587738037
5,0.2021484375,2.1973671913146973
6,0.2080078125,2.199603796005249
7,0.2119140625,2.2084896564483643
8,0.2119140625,2.235224485397339
9,0.2216796875,2.2404720783233643
0,0.24609375,2.2070651054382324
1,0.240234375,2.2097854614257812
2,0.224609375,2.1682188510894775
3,0.2216796875,2.1544551849365234
4,0.228515625,2.1547107696533203
5,0.23828125,2.1639039516448975
6,0.234375,2.1589720249176025
7,0.205078125,2.1676270961761475
8,0.2158203125,2.1514954566955566
9,0.2197265625,2.152761459350586
0,0.2119140625,2.153888463973999
1,0.2197265625,2.152163505554199
2,0.21484375,2.1433260440826416
3,0.23828125,2.1503124237060547
4,0.22265625,2.139756441116333
5,0.2255859375,2.1480178833007812
6,0.224609375,2.139415740966797
7,0.21875,2.1429083347320557
8,0.2275390625,2.139167070388794
9,0.2255859375,2.148873805999756
0,0.20703125,2.2380619049072266
1,0.205078125,2.2424979209899902
2,0.21484375,2.2557828426361084
3,0.220703125,2.1968085765838623
4,0.216796875,2.1673853397369385
5,0.2275390625,2.174830198287964
6,0.22265625,2.170588970184326
7,0.2216796875,2.173985481262207
8,0.2255859375,2.1643948554992676
9,0.2236328125,2.1653127670288086
0,0.2265625,2.1712565422058105
1,0.23046875,2.1840031147003174
2,0.2177734375,2.1732091903686523
3,0.2158203125,2.1661081314086914
4,0.224609375,2.1633567810058594
5,0.21875,2.1576058864593506
6,0.220703125,2.1540348529815674
7,0.220703125,2.1567373275756836
8,0.2509765625,2.158989429473877
9,0.21875,2.1660659313201904
0,0.232421875,2.1518802642822266
1,0.21875,2.131760835647583
2,0.228515625,2.1315479278564453
3,0.2275390625,2.1235251426696777
4,0.216796875,2.125462532043457
5,0.22265625,2.129359722137451
6,0.2265625,2.128490447998047
7,0.208984375,2.1471800804138184
8,0.2197265625,2.184314727783203
9,0.208984375,2.148826837539673
0,0.216796875,2.1972155570983887
1,0.2109375,2.1640820503234863
2,0.2158203125,2.172874927520752
3,0.2138671875,2.164632797241211
4,0.2138671875,2.232936382293701
5,0.21484375,2.216890335083008
6,0.2216796875,2.178976535797119
7,0.2197265625,2.177043914794922
8,0.21875,2.187769889831543
9,0.224609375,2.1648101806640625
0,0.20703125,2.154574394226074
1,0.2177734375,2.171727418899536
2,0.228515625,2.1445152759552
3,0.22265625,2.1540870666503906
4,0.212890625,2.174386978149414
5,0.2275390625,2.1406333446502686
6,0.23046875,2.13586688041687
7,0.224609375,2.1449930667877197
8,0.21484375,2.1339962482452393
9,0.2294921875,2.126096248626709
0,0.2109375,2.141350746154785
1,0.224609375,2.1368799209594727
2,0.22265625,2.1705543994903564
3,0.2177734375,2.156330108642578
4,0.2158203125,2.134218454360962
5,0.2265625,2.153632640838623
6,0.2236328125,2.1409850120544434
7,0.21484375,2.1414172649383545
8,0.2353515625,2.1448378562927246
9,0.2314453125,2.164430856704712
0,0.224609375,2.163280725479126
1,0.2255859375,2.165555000305176
2,0.234375,2.1571645736694336
3,0.2412109375,2.158881187438965
4,0.232421875,2.1613917350769043
5,0.21875,2.173863410949707
6,0.22265625,2.1529362201690674
7,0.20703125,2.1653881072998047
8,0.2236328125,2.1468770503997803
9,0.2451171875,2.1491713523864746
0,0.2412109375,2.1253552436828613
1,0.2333984375,2.128535747528076
2,0.2275390625,2.1199097633361816
3,0.224609375,2.113886833190918
4,0.2373046875,2.119473457336426
5,0.2138671875,2.132580280303955
6,0.21875,2.1195476055145264
7,0.224609375,2.14650297164917
8,0.2236328125,2.144789934158325
9,0.24609375,2.0885891914367676
0,0.2236328125,2.1670615673065186
1,0.21875,2.1730051040649414
2,0.197265625,2.186321258544922
3,0.2158203125,2.1640195846557617
4,0.1982421875,2.154449462890625
5,0.1923828125,2.1560850143432617
