batch # 0; loading time: 11.528305768966675s
batch # 1; loading time: 9.115016222000122s
batch # 2; loading time: 9.070875406265259s
batch # 3; loading time: 9.694667339324951s
batch # 4; loading time: 9.353076457977295s
batch # 5; loading time: 8.965205192565918s
batch # 6; loading time: 10.263461112976074s
batch # 7; loading time: 8.934187173843384s
batch # 8; loading time: 8.857380151748657s
batch # 9; loading time: 9.103680849075317s
batch # 10; loading time: 9.75056767463684s
batch # 11; loading time: 9.104751110076904s
batch # 12; loading time: 9.245664834976196s
batch # 13; loading time: 10.352596521377563s
batch # 14; loading time: 10.3727548122406s
batch # 15; loading time: 10.87580394744873s
batch # 16; loading time: 9.010917663574219s
batch # 17; loading time: 8.828780889511108s
batch # 18; loading time: 8.936733484268188s
batch # 19; loading time: 9.125800848007202s
batch # 20; loading time: 8.893001794815063s
batch # 21; loading time: 8.87701964378357s
batch # 22; loading time: 8.858705282211304s
batch # 23; loading time: 8.926807880401611s
batch # 24; loading time: 10.45455813407898s
batch # 25; loading time: 9.01646614074707s
batch # 26; loading time: 8.863248109817505s
batch # 27; loading time: 9.377553224563599s
batch # 28; loading time: 8.917061805725098s
batch # 29; loading time: 8.995883464813232s
batch # 30; loading time: 9.516570568084717s
batch # 31; loading time: 8.963591575622559s
batch # 32; loading time: 8.917722940444946s
batch # 33; loading time: 9.177716255187988s
batch # 34; loading time: 9.163750648498535s
batch # 35; loading time: 19.133588314056396s
batch # 36; loading time: 17.623194932937622s
batch # 37; loading time: 11.244476318359375s
batch # 38; loading time: 11.792280435562134s
batch # 39; loading time: 27.54984188079834s
batch # 40; loading time: 9.540007591247559s
batch # 41; loading time: 8.791485071182251s
batch # 42; loading time: 9.538962125778198s
batch # 43; loading time: 8.997465372085571s
batch # 44; loading time: 8.930102586746216s
batch # 45; loading time: 8.89580750465393s
batch # 46; loading time: 8.951611042022705s
batch # 47; loading time: 8.785117387771606s
batch # 48; loading time: 8.96550965309143s
batch # 49; loading time: 9.195443630218506s
batch # 50; loading time: 8.706615209579468s
batch # 51; loading time: 8.95733380317688s
batch # 52; loading time: 8.916173696517944s
batch # 53; loading time: 9.478561878204346s
batch # 54; loading time: 9.759903907775879s
batch # 55; loading time: 9.167843580245972s
batch # 56; loading time: 8.744059801101685s
batch # 57; loading time: 8.726235389709473s
batch # 58; loading time: 8.89836597442627s
batch # 59; loading time: 9.00400710105896s
batch # 60; loading time: 8.758916139602661s
batch # 61; loading time: 8.915528059005737s
batch # 62; loading time: 9.039226531982422s
batch # 63; loading time: 8.885469198226929s
batch # 64; loading time: 9.007268905639648s
batch # 65; loading time: 9.098247528076172s
batch # 66; loading time: 8.882312536239624s
batch # 67; loading time: 8.93893313407898s
batch # 68; loading time: 8.990175247192383s
batch # 69; loading time: 9.100488901138306s
batch # 70; loading time: 9.128102540969849s
batch # 71; loading time: 10.207882165908813s
batch # 72; loading time: 9.123653888702393s
batch # 73; loading time: 9.06863808631897s
batch # 74; loading time: 9.068396091461182s
batch # 75; loading time: 8.884235858917236s
batch # 76; loading time: 9.206100940704346s
batch # 77; loading time: 9.051953792572021s
batch # 78; loading time: 9.011614084243774s
batch # 79; loading time: 9.413819551467896s
batch # 80; loading time: 8.976353168487549s
batch # 81; loading time: 9.056286096572876s
batch # 82; loading time: 9.136473894119263s
batch # 83; loading time: 10.130182266235352s
batch # 84; loading time: 9.040620803833008s
batch # 85; loading time: 9.124231100082397s
batch # 86; loading time: 9.450307130813599s
batch # 87; loading time: 16.16999578475952s
batch # 88; loading time: 9.00178599357605s
batch # 89; loading time: 8.919292211532593s
batch # 90; loading time: 9.11375117301941s
batch # 91; loading time: 9.625486850738525s
batch # 92; loading time: 11.096215009689331s
batch # 93; loading time: 9.668464422225952s
batch # 94; loading time: 9.078635931015015s
batch # 95; loading time: 9.118613958358765s
batch # 96; loading time: 9.006205797195435s
batch # 97; loading time: 8.971441745758057s
batch # 98; loading time: 9.00040864944458s
batch # 99; loading time: 8.94569730758667s
total time elapsed: 1251.7007222175598
validation loss: 1.433980941772461, validation accuracy: 0.455078125
