batch # 0; loading time: 10.681445360183716s
batch # 1; loading time: 8.834930658340454s
batch # 2; loading time: 8.900594472885132s
batch # 3; loading time: 8.855823278427124s
batch # 4; loading time: 8.862923860549927s
batch # 5; loading time: 8.943235158920288s
batch # 6; loading time: 8.850190162658691s
batch # 7; loading time: 8.683858394622803s
batch # 8; loading time: 8.675371170043945s
batch # 9; loading time: 8.916833400726318s
batch # 10; loading time: 8.79973816871643s
batch # 11; loading time: 9.462333679199219s
batch # 12; loading time: 9.709990501403809s
batch # 13; loading time: 9.53380823135376s
batch # 14; loading time: 8.972496271133423s
batch # 15; loading time: 8.90230917930603s
batch # 16; loading time: 9.714881658554077s
batch # 17; loading time: 8.966110229492188s
batch # 18; loading time: 8.78687834739685s
batch # 19; loading time: 8.753966093063354s
batch # 20; loading time: 8.858691215515137s
batch # 21; loading time: 9.080337047576904s
batch # 22; loading time: 9.048039436340332s
batch # 23; loading time: 8.907981634140015s
batch # 24; loading time: 8.829655885696411s
batch # 25; loading time: 8.951259851455688s
batch # 26; loading time: 9.006160020828247s
batch # 27; loading time: 10.889087915420532s
batch # 28; loading time: 8.877134323120117s
batch # 29; loading time: 8.912880897521973s
batch # 30; loading time: 8.977717161178589s
batch # 31; loading time: 8.887662649154663s
batch # 32; loading time: 9.479532241821289s
batch # 33; loading time: 9.515989542007446s
batch # 34; loading time: 9.42460823059082s
batch # 35; loading time: 10.00166940689087s
batch # 36; loading time: 8.84102177619934s
batch # 37; loading time: 10.366637229919434s
batch # 38; loading time: 9.4559485912323s
batch # 39; loading time: 8.845609426498413s
batch # 40; loading time: 9.107659816741943s
batch # 41; loading time: 9.451013326644897s
batch # 42; loading time: 11.725455522537231s
batch # 43; loading time: 8.91572642326355s
batch # 44; loading time: 8.924936056137085s
batch # 45; loading time: 9.935036659240723s
batch # 46; loading time: 8.973878145217896s
batch # 47; loading time: 8.834372520446777s
batch # 48; loading time: 8.785350322723389s
batch # 49; loading time: 9.046767234802246s
batch # 50; loading time: 9.96034836769104s
batch # 51; loading time: 8.835986137390137s
batch # 52; loading time: 8.98746657371521s
batch # 53; loading time: 10.986101865768433s
batch # 54; loading time: 8.7158362865448s
batch # 55; loading time: 8.91422700881958s
batch # 56; loading time: 8.875432014465332s
batch # 57; loading time: 8.842198133468628s
batch # 58; loading time: 9.147442817687988s
batch # 59; loading time: 9.565063714981079s
batch # 60; loading time: 8.93848967552185s
batch # 61; loading time: 24.829593896865845s
batch # 62; loading time: 16.863667249679565s
batch # 63; loading time: 26.69329810142517s
batch # 64; loading time: 24.11047601699829s
batch # 65; loading time: 24.184795379638672s
batch # 66; loading time: 24.562366008758545s
batch # 67; loading time: 22.993773937225342s
batch # 68; loading time: 16.520761966705322s
batch # 69; loading time: 20.64938235282898s
batch # 70; loading time: 18.114627838134766s
batch # 71; loading time: 17.83962059020996s
batch # 72; loading time: 43.5560884475708s
batch # 73; loading time: 24.558016777038574s
batch # 74; loading time: 20.005526065826416s
batch # 75; loading time: 29.124857187271118s
batch # 76; loading time: 16.23124361038208s
batch # 77; loading time: 18.987921714782715s
batch # 78; loading time: 33.5075786113739s
batch # 79; loading time: 11.592549800872803s
batch # 80; loading time: 11.324414014816284s
batch # 81; loading time: 9.503839015960693s
batch # 82; loading time: 8.92067551612854s
batch # 83; loading time: 21.02988576889038s
batch # 84; loading time: 10.283392429351807s
batch # 85; loading time: 10.127323865890503s
batch # 86; loading time: 16.34724736213684s
batch # 87; loading time: 9.217820882797241s
batch # 88; loading time: 10.162928104400635s
batch # 89; loading time: 9.543617486953735s
batch # 90; loading time: 8.901645421981812s
batch # 91; loading time: 9.635165452957153s
batch # 92; loading time: 8.969480514526367s
batch # 93; loading time: 8.956918716430664s
batch # 94; loading time: 9.30011796951294s
batch # 95; loading time: 9.388749837875366s
batch # 96; loading time: 10.130562782287598s
batch # 97; loading time: 9.082126140594482s
batch # 98; loading time: 10.318058490753174s
batch # 99; loading time: 9.014267444610596s
total time elapsed: 1568.4108757972717
validation loss: 2.7254631519317627, validation accuracy: 0.2294921875
