batch # 0; loading time: 12.190582513809204s
batch # 1; loading time: 9.01615571975708s
batch # 2; loading time: 10.085098505020142s
batch # 3; loading time: 10.017681360244751s
batch # 4; loading time: 9.62777304649353s
batch # 5; loading time: 9.456614017486572s
batch # 6; loading time: 9.154449224472046s
batch # 7; loading time: 9.526489019393921s
batch # 8; loading time: 9.898561716079712s
batch # 9; loading time: 9.839693546295166s
batch # 10; loading time: 10.261498212814331s
batch # 11; loading time: 9.62822151184082s
batch # 12; loading time: 9.574677228927612s
batch # 13; loading time: 10.582616567611694s
batch # 14; loading time: 10.316074848175049s
batch # 15; loading time: 9.448028087615967s
batch # 16; loading time: 21.537630081176758s
batch # 17; loading time: 13.487602949142456s
batch # 18; loading time: 22.260867834091187s
batch # 19; loading time: 9.81032109260559s
batch # 20; loading time: 10.292021751403809s
batch # 21; loading time: 9.225574731826782s
batch # 22; loading time: 9.78353238105774s
batch # 23; loading time: 9.802383184432983s
batch # 24; loading time: 9.346698999404907s
batch # 25; loading time: 8.97095513343811s
batch # 26; loading time: 9.664890050888062s
batch # 27; loading time: 11.153450965881348s
batch # 28; loading time: 9.473990678787231s
batch # 29; loading time: 10.731311321258545s
batch # 30; loading time: 10.154862403869629s
batch # 31; loading time: 10.381882667541504s
batch # 32; loading time: 9.585192918777466s
batch # 33; loading time: 9.298443078994751s
batch # 34; loading time: 9.293338298797607s
batch # 35; loading time: 9.377849817276001s
batch # 36; loading time: 9.606044054031372s
batch # 37; loading time: 10.22087574005127s
batch # 38; loading time: 9.90907883644104s
batch # 39; loading time: 9.20309329032898s
batch # 40; loading time: 9.385245323181152s
batch # 41; loading time: 9.163028240203857s
batch # 42; loading time: 9.100128412246704s
batch # 43; loading time: 10.312138795852661s
batch # 44; loading time: 9.34273099899292s
batch # 45; loading time: 9.364157676696777s
batch # 46; loading time: 9.96854043006897s
batch # 47; loading time: 9.218982458114624s
batch # 48; loading time: 9.054547786712646s
batch # 49; loading time: 9.000254392623901s
batch # 50; loading time: 9.505109071731567s
batch # 51; loading time: 9.053550481796265s
batch # 52; loading time: 9.043558359146118s
batch # 53; loading time: 9.099351167678833s
batch # 54; loading time: 9.250911951065063s
batch # 55; loading time: 9.199098348617554s
batch # 56; loading time: 9.20595932006836s
batch # 57; loading time: 9.636622667312622s
batch # 58; loading time: 10.079164505004883s
batch # 59; loading time: 9.113311529159546s
batch # 60; loading time: 9.180857419967651s
batch # 61; loading time: 9.012921571731567s
batch # 62; loading time: 9.165790557861328s
batch # 63; loading time: 9.176382064819336s
batch # 64; loading time: 9.156065225601196s
batch # 65; loading time: 9.185479879379272s
batch # 66; loading time: 9.26865839958191s
batch # 67; loading time: 9.30891752243042s
batch # 68; loading time: 9.102507591247559s
batch # 69; loading time: 9.057693481445312s
batch # 70; loading time: 9.17717695236206s
batch # 71; loading time: 9.046874284744263s
batch # 72; loading time: 9.406472444534302s
batch # 73; loading time: 10.095049858093262s
batch # 74; loading time: 9.308196544647217s
batch # 75; loading time: 9.569213628768921s
batch # 76; loading time: 11.1547269821167s
batch # 77; loading time: 9.13689661026001s
batch # 78; loading time: 9.172906875610352s
batch # 79; loading time: 9.149602174758911s
batch # 80; loading time: 9.330455541610718s
batch # 81; loading time: 9.220741510391235s
batch # 82; loading time: 13.072377443313599s
batch # 83; loading time: 9.223697423934937s
batch # 84; loading time: 9.35773229598999s
batch # 85; loading time: 9.320215463638306s
batch # 86; loading time: 9.100223779678345s
batch # 87; loading time: 9.266512393951416s
batch # 88; loading time: 9.273017406463623s
batch # 89; loading time: 9.215118169784546s
batch # 90; loading time: 9.151204824447632s
batch # 91; loading time: 9.305472135543823s
batch # 92; loading time: 10.677180767059326s
batch # 93; loading time: 9.080448389053345s
batch # 94; loading time: 9.408000469207764s
batch # 95; loading time: 9.410097360610962s
batch # 96; loading time: 9.35814094543457s
batch # 97; loading time: 9.150825023651123s
batch # 98; loading time: 9.329538106918335s
batch # 99; loading time: 9.195207118988037s
total time elapsed: 1267.8959386348724
validation loss: 2.1714835166931152, validation accuracy: 0.2294921875
