batch # 0; loading time: 11.26170802116394s
batch # 1; loading time: 8.870183229446411s
batch # 2; loading time: 8.87555718421936s
batch # 3; loading time: 9.569061756134033s
batch # 4; loading time: 8.90210509300232s
batch # 5; loading time: 8.809752225875854s
batch # 6; loading time: 8.88579249382019s
batch # 7; loading time: 10.091037511825562s
batch # 8; loading time: 8.913391828536987s
batch # 9; loading time: 9.091461420059204s
batch # 10; loading time: 8.918406009674072s
batch # 11; loading time: 9.395355939865112s
batch # 12; loading time: 8.73250675201416s
batch # 13; loading time: 8.910461664199829s
batch # 14; loading time: 8.832350969314575s
batch # 15; loading time: 8.897365808486938s
batch # 16; loading time: 8.824868202209473s
batch # 17; loading time: 8.937868356704712s
batch # 18; loading time: 8.839753150939941s
batch # 19; loading time: 8.970017433166504s
batch # 20; loading time: 8.948996543884277s
batch # 21; loading time: 8.94009804725647s
batch # 22; loading time: 8.852251529693604s
batch # 23; loading time: 8.749383926391602s
batch # 24; loading time: 9.015614986419678s
batch # 25; loading time: 8.749114751815796s
batch # 26; loading time: 9.567779064178467s
batch # 27; loading time: 9.042662620544434s
batch # 28; loading time: 8.861411333084106s
batch # 29; loading time: 15.128081321716309s
batch # 30; loading time: 9.18239164352417s
batch # 31; loading time: 8.792278289794922s
batch # 32; loading time: 8.69416618347168s
batch # 33; loading time: 8.824505805969238s
batch # 34; loading time: 9.263579845428467s
batch # 35; loading time: 31.964720249176025s
batch # 36; loading time: 15.93037748336792s
batch # 37; loading time: 9.424933671951294s
batch # 38; loading time: 10.122703552246094s
batch # 39; loading time: 8.97352910041809s
batch # 40; loading time: 9.36898398399353s
batch # 41; loading time: 11.522616863250732s
batch # 42; loading time: 9.024978160858154s
batch # 43; loading time: 9.399593591690063s
batch # 44; loading time: 8.949171543121338s
batch # 45; loading time: 8.868947505950928s
batch # 46; loading time: 9.624258279800415s
batch # 47; loading time: 8.89325761795044s
batch # 48; loading time: 8.815988302230835s
batch # 49; loading time: 8.779718399047852s
batch # 50; loading time: 8.828604459762573s
batch # 51; loading time: 8.819064855575562s
batch # 52; loading time: 10.224619388580322s
batch # 53; loading time: 8.99283218383789s
batch # 54; loading time: 8.823659658432007s
batch # 55; loading time: 8.819448947906494s
batch # 56; loading time: 9.93913984298706s
batch # 57; loading time: 8.878562211990356s
batch # 58; loading time: 8.809782981872559s
batch # 59; loading time: 8.888151168823242s
batch # 60; loading time: 9.055868148803711s
batch # 61; loading time: 9.020177841186523s
batch # 62; loading time: 8.974987745285034s
batch # 63; loading time: 8.856301307678223s
batch # 64; loading time: 8.869150638580322s
batch # 65; loading time: 8.868992567062378s
batch # 66; loading time: 8.692147970199585s
batch # 67; loading time: 8.767894268035889s
batch # 68; loading time: 8.779119491577148s
batch # 69; loading time: 8.811108112335205s
batch # 70; loading time: 9.622589111328125s
batch # 71; loading time: 9.930618524551392s
batch # 72; loading time: 9.597630739212036s
batch # 73; loading time: 8.794048309326172s
batch # 74; loading time: 8.73441219329834s
batch # 75; loading time: 8.824294567108154s
batch # 76; loading time: 8.830987453460693s
batch # 77; loading time: 9.07185435295105s
batch # 78; loading time: 8.902452230453491s
batch # 79; loading time: 9.011330366134644s
batch # 80; loading time: 18.720219373703003s
batch # 81; loading time: 8.727858066558838s
batch # 82; loading time: 8.670613050460815s
batch # 83; loading time: 8.90917420387268s
batch # 84; loading time: 8.69038462638855s
batch # 85; loading time: 9.21630072593689s
batch # 86; loading time: 8.843227863311768s
batch # 87; loading time: 8.80174732208252s
batch # 88; loading time: 9.310891389846802s
batch # 89; loading time: 8.975622653961182s
batch # 90; loading time: 8.75780439376831s
batch # 91; loading time: 8.754758358001709s
batch # 92; loading time: 8.983838081359863s
batch # 93; loading time: 11.025624513626099s
batch # 94; loading time: 8.818140983581543s
batch # 95; loading time: 8.87871265411377s
batch # 96; loading time: 8.789048671722412s
batch # 97; loading time: 8.917837142944336s
batch # 98; loading time: 8.779518365859985s
batch # 99; loading time: 10.014056921005249s
total time elapsed: 1301.2025282382965
validation loss: 2.4093174934387207, validation accuracy: 0.2294921875
