batch # 0; loading time: 11.295333623886108s
batch # 1; loading time: 9.019056558609009s
batch # 2; loading time: 9.622933149337769s
batch # 3; loading time: 9.120561361312866s
batch # 4; loading time: 9.13677453994751s
batch # 5; loading time: 9.314759492874146s
batch # 6; loading time: 9.043837070465088s
batch # 7; loading time: 10.20439600944519s
batch # 8; loading time: 9.31460428237915s
batch # 9; loading time: 8.928477048873901s
batch # 10; loading time: 9.1224524974823s
batch # 11; loading time: 8.884222030639648s
batch # 12; loading time: 9.42075490951538s
batch # 13; loading time: 9.125865459442139s
batch # 14; loading time: 9.05944299697876s
batch # 15; loading time: 9.603369235992432s
batch # 16; loading time: 8.876498937606812s
batch # 17; loading time: 8.913542985916138s
batch # 18; loading time: 9.193130016326904s
batch # 19; loading time: 9.259931325912476s
batch # 20; loading time: 9.05941891670227s
batch # 21; loading time: 9.054257154464722s
batch # 22; loading time: 8.99349594116211s
batch # 23; loading time: 9.278754949569702s
batch # 24; loading time: 9.181049346923828s
batch # 25; loading time: 9.559982538223267s
batch # 26; loading time: 9.013656377792358s
batch # 27; loading time: 9.085247993469238s
batch # 28; loading time: 9.414271831512451s
batch # 29; loading time: 9.038214445114136s
batch # 30; loading time: 9.169091701507568s
batch # 31; loading time: 9.17469334602356s
batch # 32; loading time: 9.261017084121704s
batch # 33; loading time: 8.970519781112671s
batch # 34; loading time: 9.017391681671143s
batch # 35; loading time: 9.143398761749268s
batch # 36; loading time: 9.338050127029419s
batch # 37; loading time: 9.153160572052002s
batch # 38; loading time: 8.9888596534729s
batch # 39; loading time: 9.186777591705322s
batch # 40; loading time: 9.052668809890747s
batch # 41; loading time: 9.111219882965088s
batch # 42; loading time: 8.966655254364014s
batch # 43; loading time: 9.254229068756104s
batch # 44; loading time: 9.19947338104248s
batch # 45; loading time: 9.644872903823853s
batch # 46; loading time: 12.079303741455078s
batch # 47; loading time: 9.483573913574219s
batch # 48; loading time: 9.287432670593262s
batch # 49; loading time: 8.959678411483765s
batch # 50; loading time: 9.701761484146118s
batch # 51; loading time: 9.274924755096436s
batch # 52; loading time: 9.11340069770813s
batch # 53; loading time: 9.13723111152649s
batch # 54; loading time: 9.109442234039307s
batch # 55; loading time: 10.597281217575073s
batch # 56; loading time: 9.094258546829224s
batch # 57; loading time: 9.032334566116333s
batch # 58; loading time: 9.05520486831665s
batch # 59; loading time: 8.926050186157227s
batch # 60; loading time: 9.183725833892822s
batch # 61; loading time: 9.204288721084595s
batch # 62; loading time: 9.229013919830322s
batch # 63; loading time: 9.019046783447266s
batch # 64; loading time: 11.418863296508789s
batch # 65; loading time: 9.997255802154541s
batch # 66; loading time: 9.065435647964478s
batch # 67; loading time: 9.153039693832397s
batch # 68; loading time: 8.944348096847534s
batch # 69; loading time: 9.114441871643066s
batch # 70; loading time: 9.344330072402954s
batch # 71; loading time: 8.976840257644653s
batch # 72; loading time: 9.022433280944824s
batch # 73; loading time: 9.172356843948364s
batch # 74; loading time: 8.959822654724121s
batch # 75; loading time: 9.534085273742676s
batch # 76; loading time: 9.335091352462769s
batch # 77; loading time: 8.928421974182129s
batch # 78; loading time: 9.103787183761597s
batch # 79; loading time: 9.28672480583191s
batch # 80; loading time: 9.088951826095581s
batch # 81; loading time: 9.034305572509766s
batch # 82; loading time: 9.189399480819702s
batch # 83; loading time: 9.299319505691528s
batch # 84; loading time: 9.01514744758606s
batch # 85; loading time: 9.2118558883667s
batch # 86; loading time: 9.594106674194336s
batch # 87; loading time: 9.179330348968506s
batch # 88; loading time: 9.31922173500061s
batch # 89; loading time: 9.078789472579956s
batch # 90; loading time: 9.011642217636108s
batch # 91; loading time: 9.077495813369751s
batch # 92; loading time: 9.020331621170044s
batch # 93; loading time: 8.935239553451538s
batch # 94; loading time: 9.03099250793457s
batch # 95; loading time: 8.996988296508789s
batch # 96; loading time: 9.254337072372437s
batch # 97; loading time: 9.19585108757019s
batch # 98; loading time: 9.465754985809326s
batch # 99; loading time: 9.07581639289856s
total time elapsed: 977.1400589942932
validation loss: 2.1796536445617676, validation accuracy: 0.2294921875
